cell_id,timestamp,technology,rsrp,rsrq,sinr,throughput_dl,throughput_ul,latency,jitter,packet_loss,handover_label,is_anomaly,latitude,longitude,prb_utilization,active_users,sla_compliant
CELL_007,2024-01-01 00:00:00,5G,-97.3,-7.29,-1.2281164627278596,864.5,403.4854941710235,6.418,0.4503456182396304,0.4494,1,0,36.82,10.17,56.2,36,1
CELL_020,2024-01-01 00:01:00,5G,-104.8,-6.69,23.24939292389905,48.97,23.03297066368801,29.693,5.194982111602638,0.5957,1,0,36.82,10.17,35.5,197,1
CELL_015,2024-01-01 00:02:00,5G,-103.8,-14.02,7.390290136454379,53.18,25.525375778927724,10.869,1.5198643751697802,0.3442,1,0,36.82,10.17,38.6,215,1
CELL_011,2024-01-01 00:03:00,5G,-87.2,-15.24,26.794931724112118,62.44,19.95015605412848,25.479,4.0985659987445535,0.5568,1,0,36.82,10.17,33.3,206,1
CELL_008,2024-01-01 00:04:00,5G,-91.6,-14.06,19.439001500369706,43.89,19.38404867829438,21.725,2.358701052618545,0.682,1,0,36.82,10.17,24.0,199,1
CELL_007,2024-01-01 00:05:00,5G,-112.2,-9.13,15.25421844654679,682.82,339.2596681092965,9.203,0.5991543405103057,0.3167,1,0,36.82,10.17,94.1,45,1
CELL_019,2024-01-01 00:06:00,5G,-114.6,-18.43,29.579096481397485,790.87,373.3400632586205,10.6,0.7477881255684985,0.0929,1,0,36.82,10.17,75.1,50,1
CELL_011,2024-01-01 00:07:00,5G,-118.5,-8.56,26.048524514152923,306.01,128.71257001279298,1.655,0.26039786118539054,0.0343,1,0,36.82,10.17,56.4,12,1
CELL_011,2024-01-01 00:08:00,5G,-71.5,-14.97,2.038966393928197,775.87,350.7424055044278,10.109,1.0752513723832924,0.4414,1,0,36.82,10.17,68.6,33,1
CELL_004,2024-01-01 00:09:00,5G,-112.3,-7.01,25.918701131684017,35.76,16.443488119136905,15.674,1.447039573993143,0.0757,1,0,36.82,10.17,53.6,200,1
CELL_008,2024-01-01 00:10:00,5G,-117.4,-3.7,27.6427371306995,878.42,410.74846622673255,12.022,1.5891600719183818,0.3158,1,0,36.82,10.17,78.0,55,1
CELL_003,2024-01-01 00:11:00,5G,-95.6,-8.07,28.20816327027655,879.42,358.8909991893478,9.848,1.5343838429418333,0.2462,1,0,36.82,10.17,67.4,36,1
CELL_002,2024-01-01 00:12:00,5G,-115.1,-18.27,16.99172702229646,815.91,248.7056957022773,9.096,1.589156633360552,0.3651,0,0,36.82,10.17,68.9,45,1
CELL_012,2024-01-01 00:13:00,5G,-77.2,-11.84,1.040042145483083,1201.89,519.5467415451214,3.555,0.254223193343455,0.4502,1,0,36.82,10.17,86.6,12,1
CELL_006,2024-01-01 00:14:00,5G,-75.1,-14.82,16.66936346875234,870.92,413.0003684462485,9.419,1.0170013718126933,1.2384,1,0,36.82,10.17,86.8,41,1
CELL_002,2024-01-01 00:15:00,5G,-95.5,-6.44,16.9845078246352,234.54,100.91746869071748,0.708,0.09884104359355325,0.0094,1,0,36.82,10.17,55.0,10,1
CELL_001,2024-01-01 00:16:00,5G,-107.7,-6.94,22.10681998630154,306.08,130.80117365714386,1.866,0.21183364009722522,0.0506,1,0,36.82,10.17,70.0,14,1
CELL_012,2024-01-01 00:17:00,5G,-110.9,-11.91,26.864063281826258,760.1,330.6823250392485,9.996,1.9422644586027784,0.0022,1,0,36.82,10.17,79.0,45,1
CELL_012,2024-01-01 00:18:00,5G,-117.6,-5.07,21.1247092051242,193.99,59.58405443218635,1.962,0.16303408942613096,0.0102,1,0,36.82,10.17,50.8,9,1
